Seed;P_Informed;Exito;Tiempo_Segundos;N_att_Medio;V_x_Media_cm_s;M_Medio_Orden
42;0,0;0;3000,0;59,22;0,083;0,168
43;0,0;0;3000,0;60,16;0,06;0,156
44;0,0;0;3000,0;58,94;0,07;0,156
45;0,0;0;3000,0;59,91;0,085;0,154
46;0,0;0;3000,0;59,5;0,074;0,151
47;0,0;0;3000,0;58,98;0,081;0,152
48;0,0;0;3000,0;59,38;0,058;0,174
49;0,0;0;3000,0;59,96;0,064;0,159
50;0,0;0;3000,0;60,56;0,059;0,16
51;0,0;0;3000,0;60,2;0,098;0,148
52;0,1;0;3000,0;61,57;0,055;0,198
53;0,1;0;3000,0;59,84;0,042;0,218
54;0,1;0;3000,0;61,33;0,062;0,191
55;0,1;0;3000,0;61,25;0,061;0,199
56;0,1;0;3000,0;60,09;0,054;0,204
57;0,1;0;3000,0;58,37;0,073;0,193
58;0,1;0;3000,0;60,73;0,08;0,181
59;0,1;0;3000,0;58,8;0,066;0,155
60;0,1;0;3000,0;59,92;0,078;0,22
61;0,1;0;3000,0;58,88;0,086;0,2
62;0,2;0;3000,0;60,96;0,061;0,227
63;0,2;0;3000,0;60,46;0,058;0,211
64;0,2;0;3000,0;60,4;0,315;0,251
65;0,2;1;2772,95;60,52;0,742;0,233
66;0,2;0;3000,0;59,11;0,25;0,198
67;0,2;0;3000,0;60,44;0,072;0,222
68;0,2;0;3000,0;59,67;0,065;0,267
69;0,2;0;3000,0;59,4;0,069;0,223
70;0,2;0;3000,0;60,19;0,314;0,219
71;0,2;0;3000,0;60,94;0,31;0,217
72;0,3;0;3000,0;59,38;0,081;0,251
73;0,3;0;3000,0;61,2;0,299;0,224
74;0,3;0;3000,0;61,45;0,064;0,24
75;0,3;0;3000,0;61,72;0,082;0,274
76;0,3;0;3000,0;59,32;0,131;0,261
77;0,3;0;3000,0;60,21;0,075;0,274
78;0,3;0;3000,0;60,08;0,428;0,236
79;0,3;0;3000,0;60,5;0,081;0,197
80;0,3;0;3000,0;60,32;0,071;0,27
81;0,3;0;3000,0;61,93;0,048;0,215
82;0,4;0;3000,0;61,33;0,142;0,25
83;0,4;0;3000,0;61,41;0,175;0,278
84;0,4;0;3000,0;62,02;0,123;0,248
85;0,4;0;3000,0;61,58;0,303;0,268
86;0,4;1;2955,77;61,61;0,652;0,235
87;0,4;0;3000,0;61,46;0,076;0,291
88;0,4;0;3000,0;59,96;0,311;0,321
89;0,4;0;3000,0;62,0;0,072;0,289
90;0,4;0;3000,0;62,62;0,076;0,268
91;0,4;0;3000,0;61,12;0,064;0,238
92;0,5;0;3000,0;62,16;0,041;0,254
93;0,5;0;3000,0;60,74;0,102;0,268
94;0,5;1;1834,0;61,99;1,122;0,3
95;0,5;0;3000,0;61,93;0,19;0,263
96;0,5;0;3000,0;61,39;0,227;0,25
97;0,5;0;3000,0;62,13;0,076;0,289
98;0,5;0;3000,0;61,79;0,257;0,286
99;0,5;0;3000,0;62,52;0,267;0,282
100;0,5;0;3000,0;61,47;0,216;0,304
101;0,5;1;2637,32;60,53;0,777;0,294
102;0,6;1;2289,25;59,35;0,889;0,31
103;0,6;1;68,23;37,58;30,322;0,415
104;0,6;1;1815,45;61,73;1,126;0,296
105;0,6;0;3000,0;61,25;0,307;0,288
106;0,6;1;173,22;53,82;11,964;0,386
107;0,6;1;1113,37;60,29;1,852;0,342
108;0,6;1;2554,0;61,13;0,8;0,283
109;0,6;1;628,0;60,64;3,283;0,354
110;0,6;1;2687,93;61,91;0,752;0,259
111;0,6;0;3000,0;61,77;0,058;0,276
112;0,7;1;927,03;60,48;2,218;0,318
113;0,7;0;3000,0;62,44;0,305;0,325
114;0,7;0;3000,0;60,56;0,074;0,299
115;0,7;0;3000,0;61,91;0,304;0,293
116;0,7;1;581,85;59,12;3,552;0,354
117;0,7;0;3000,0;63,04;0,31;0,296
118;0,7;0;3000,0;62,69;0,308;0,304
119;0,7;1;176,1;50,02;11,753;0,407
120;0,7;1;141,13;47,44;14,664;0,372
121;0,7;1;1715,58;62,27;1,194;0,294
122;0,8;1;2494,42;61,18;0,822;0,348
123;0,8;0;3000,0;62,29;0,102;0,346
124;0,8;1;322,3;49,3;6,407;0,326
125;0,8;0;3000,0;62,86;0,303;0,343
126;0,8;1;177,28;52,84;11,696;0,395
127;0,8;0;3000,0;62,63;0,064;0,333
128;0,8;1;1350,27;63,88;1,521;0,331
129;0,8;1;1894,5;63,33;1,088;0,323
130;0,8;0;3000,0;61,74;0,079;0,32
131;0,8;1;548,47;56,11;3,778;0,332
132;0,9;0;3000,0;62,61;0,077;0,336
133;0,9;1;1358,13;62,3;1,524;0,318
134;0,9;1;979,47;62,79;2,098;0,31
135;0,9;1;989,72;63,42;2,099;0,315
136;0,9;1;2904,05;64,12;0,709;0,322
137;0,9;0;3000,0;64,58;0,164;0,316
138;0,9;0;3000,0;64,25;0,277;0,317
139;0,9;1;2387,22;61,73;0,852;0,31
140;0,9;0;3000,0;64,85;0,286;0,316
141;0,9;1;345,9;59,38;5,662;0,343
142;1,0;1;166,88;49,48;12,434;0,372
143;1,0;1;1618,33;62,79;1,27;0,334
144;1,0;1;70,7;39,42;27,586;0,398
145;1,0;0;3000,0;65,02;0,429;0,313
146;1,0;1;320,62;60,25;6,455;0,384
147;1,0;1;1133,13;64,66;1,721;0,337
148;1,0;1;101,78;46,38;19,224;0,429
149;1,0;0;3000,0;63,65;0,31;0,333
150;1,0;1;285,93;57,93;7,259;0,349
151;1,0;1;1797,62;63,96;1,143;0,321
